id,pillar_id,title,description,age_group,content_type,content_data
tech11,1,Two-Option Choice,Offer your child two acceptable choices to encourage decision-making.,all,technique,"{""steps"": [""Present two realistic choices (e.g., 'Do you want apples or grapes for snack?')"", ""Allow your child to make the decision"", ""Praise the act of choosing, not just the choice itself""]}"
tech12,1,Self-Pack Practice,Guide your child to independently pack for an event or day at school.,all,technique,"{""steps"": [""Create a packing checklist together"", ""Let your child pack their own bag"", ""Do a final review together, celebrating effort""]}"
tech13,1,Future You Reflection,Help your child reflect on actions by thinking about their future self.,all,technique,"{""steps"": [""After a decision, ask 'What would Future You want you to do?'"", ""Discuss how choices affect outcomes"", ""Reinforce responsible thinking with praise""]}"
tech14,1,Try-First Habit,Encourage your child to attempt a task before asking for help.,all,technique,"{""steps"": [""Set the expectation: 'Try first, then ask if stuck'"", ""Praise attempts, even if imperfect"", ""Guide them only after effort is shown""]}"
tech15,2,One Step Plan,Break big goals into manageable steps with your child.,all,technique,"{""steps"": [""Ask: 'What\u2019s one small step you can take?'"", ""Write it down and make a plan"", ""Celebrate progress after the step is completed""]}"
tech16,2,Mini-Win Reflection,Encourage your child to recognize daily improvements.,all,technique,"{""steps"": [""Ask: 'What did you get better at today?'"", ""Focus on effort, not outcomes"", ""Repeat regularly to build habit""]}"
tech17,2,Effort Detective,Help your child spot effort in themselves and others.,all,technique,"{""steps"": [""Ask: 'Where did you notice effort today\u2014in yourself or others?'"", ""Reinforce that effort matters more than ease"", ""Model noticing and naming effort aloud""]}"
tech18,2,Mistake Story Sharing,Model resilience by sharing mistakes and learnings.,all,technique,"{""steps"": [""Share a time you messed up and what you learned"", ""Ask: 'Have you ever had something similar happen?'"", ""Reframe mistakes as growth""]}"
tech19,3,Eye Contact Game,Build social confidence by practicing eye contact.,all,technique,"{""steps"": [""Practice looking into each other\u2019s eyes while speaking"", ""Play a game of who can maintain eye contact the longest"", ""Reflect on how it felt to give and receive attention""]}"
tech20,3,Compliment Practice,Teach your child to give and receive meaningful compliments.,all,technique,"{""steps"": [""Give your child a specific compliment about effort or kindness"", ""Help them think of a compliment to give someone else"", ""Discuss how it felt to express appreciation""]}"
tech21,1,Confidence Exercise 11,A confidence-building technique number 11.,all,technique,"{""steps"": [""Step 1 for technique 11"", ""Step 2 for technique 11"", ""Step 3 for technique 11""]}"
tech22,2,Confidence Exercise 12,A confidence-building technique number 12.,all,technique,"{""steps"": [""Step 1 for technique 12"", ""Step 2 for technique 12"", ""Step 3 for technique 12""]}"
tech23,3,Confidence Exercise 13,A confidence-building technique number 13.,all,technique,"{""steps"": [""Step 1 for technique 13"", ""Step 2 for technique 13"", ""Step 3 for technique 13""]}"
tech24,4,Confidence Exercise 14,A confidence-building technique number 14.,all,technique,"{""steps"": [""Step 1 for technique 14"", ""Step 2 for technique 14"", ""Step 3 for technique 14""]}"
tech25,5,Confidence Exercise 15,A confidence-building technique number 15.,all,technique,"{""steps"": [""Step 1 for technique 15"", ""Step 2 for technique 15"", ""Step 3 for technique 15""]}"
tech26,1,Confidence Exercise 16,A confidence-building technique number 16.,all,technique,"{""steps"": [""Step 1 for technique 16"", ""Step 2 for technique 16"", ""Step 3 for technique 16""]}"
tech27,2,Confidence Exercise 17,A confidence-building technique number 17.,all,technique,"{""steps"": [""Step 1 for technique 17"", ""Step 2 for technique 17"", ""Step 3 for technique 17""]}"
